,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Mammuthus primigenius,Mesoplodon densirostris,Balaenoptera omurai,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Neophocaena phocaenoides,Kogia sima
Mus musculus,0
Rattus norvegicus,5741500,0
Panthera leo,99275000,99275000,0
Triturus cristatus,338650000,338650000,338650000,0
Ateles paniscus,66450000,66450000,99275000,338650000,0
Branta canadensis,316350000,316350000,316350000,338650000,316350000,0
Camelus dromedarius,87325000,87325000,87325000,338650000,87325000,316350000,0
Cebus albifrons,66450000,66450000,99275000,338650000,32327925,316350000,87325000,0
Crocodylus siamensis,316350000,316350000,316350000,338650000,316350000,249467500,316350000,316350000,0
Echinops telfairi,93075000,93075000,70850000,338650000,93075000,316350000,87325000,93075000,316350000,0
Erinaceus europaeus,88177000,88177000,88177000,338650000,88177000,316350000,88177000,88177000,316350000,88177000,0
Hippopotamus amphibius,87325000,87325000,87325000,338650000,87325000,316350000,49650000,87325000,316350000,87325000,88177000,0
Lagothrix lagotricha,66450000,66450000,99275000,338650000,5850,316350000,87325000,32327925,316350000,93075000,88177000,87325000,0
Lutra lutra,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,0
Macaca mulatta,66450000,66450000,99275000,338650000,25062500,316350000,87325000,32327925,316350000,93075000,88177000,87325000,25062500,99275000,0
Mellivora capensis,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,15827500,99275000,0
Microtus xanthognathus,37025000,37025000,99275000,338650000,66450000,316350000,87325000,66450000,316350000,93075000,88177000,87325000,66450000,99275000,66450000,99275000,0
Nasua nasua,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,44675000,99275000,44675000,99275000,0
Tursiops truncatus,109550000,109550000,109550000,338650000,109550000,316350000,109550000,109550000,316350000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,0
Anas platyrhynchos,316350000,316350000,316350000,338650000,316350000,20305000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,0
Camelus bactrianus,87325000,87325000,87325000,338650000,87325000,316350000,453500,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,0
Cavia porcellus,47800000,47800000,99275000,338650000,66450000,316350000,87325000,66450000,316350000,93075000,88177000,87325000,66450000,99275000,66450000,99275000,47800000,99275000,109550000,316350000,87325000,0
Crocuta crocuta,99275000,99275000,27525000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,57350000,99275000,57350000,99275000,57350000,109550000,316350000,87325000,99275000,0
Elephas maximus,93075000,93075000,70850000,338650000,93075000,316350000,87325000,93075000,316350000,62525000,88177000,87325000,93075000,70850000,93075000,70850000,93075000,70850000,109550000,316350000,87325000,93075000,70850000,0
Lama guanicoe,87325000,87325000,87325000,338650000,87325000,316350000,19500000,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,19500000,87325000,87325000,87325000,0
Martes foina,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,19927500,99275000,17415000,99275000,44675000,109550000,316350000,87325000,99275000,57350000,70850000,87325000,0
Mustela putorius,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,19927500,99275000,17415000,99275000,44675000,109550000,316350000,87325000,99275000,57350000,70850000,87325000,19860000,0
Paguma larvata,99275000,99275000,30557500,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,57350000,99275000,57350000,99275000,57350000,109550000,316350000,87325000,99275000,22532500,70850000,87325000,57350000,57350000,0
Sminthopsis crassicaudata,144850000,144850000,144850000,338650000,144850000,316350000,144850000,144850000,316350000,144850000,88177000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,109550000,316350000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,0
Struthio camelus,316350000,316350000,316350000,338650000,316350000,100750000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,100750000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,0
Tragelaphus strepsiceros,87325000,87325000,87325000,338650000,87325000,316350000,48200000,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,48200000,87325000,87325000,87325000,48200000,87325000,87325000,87325000,144850000,316350000,0
Tapirus terrestris,92000000,92000000,69775000,338650000,92000000,316350000,87325000,92000000,316350000,63575000,88177000,87325000,92000000,69775000,92000000,69775000,92000000,69775000,109550000,316350000,87325000,92000000,69775000,63575000,87325000,69775000,69775000,69775000,144850000,316350000,87325000,0
Callimico goeldii,66450000,66450000,99275000,338650000,18900000,316350000,87325000,32327925,316350000,93075000,88177000,87325000,18900000,99275000,25062500,99275000,66450000,99275000,109550000,316350000,87325000,66450000,99275000,93075000,87325000,99275000,99275000,99275000,144850000,316350000,87325000,92000000,0
Colobus guereza,66450000,66450000,99275000,338650000,25062500,316350000,87325000,32327925,316350000,93075000,88177000,87325000,25062500,99275000,13450750,99275000,66450000,99275000,109550000,316350000,87325000,66450000,99275000,93075000,87325000,99275000,99275000,99275000,144850000,316350000,87325000,92000000,25062500,0
Lama glama,87325000,87325000,87325000,338650000,87325000,316350000,19500000,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,19500000,87325000,87325000,87325000,1040500,87325000,87325000,87325000,144850000,316350000,48200000,87325000,87325000,87325000,0
Macropus giganteus,144850000,144850000,144850000,338650000,144850000,316350000,144850000,144850000,316350000,144850000,88177000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,109550000,316350000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,46132500,316350000,144850000,144850000,144850000,144850000,144850000,0
Phalacrocorax carbo,316350000,316350000,316350000,338650000,316350000,105150000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,105150000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,100750000,316350000,316350000,316350000,316350000,316350000,316350000,0
Papio cynocephalus,66450000,66450000,99275000,338650000,25062500,316350000,87325000,32327925,316350000,93075000,88177000,87325000,25062500,99275000,8043250,99275000,66450000,99275000,109550000,316350000,87325000,66450000,99275000,93075000,87325000,99275000,99275000,99275000,144850000,316350000,87325000,92000000,25062500,13450750,87325000,144850000,316350000,0
Rhinolophus ferrumequinum,99275000,99275000,63150000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,63150000,99275000,63150000,99275000,63150000,109550000,316350000,87325000,99275000,63150000,70850000,87325000,63150000,63150000,63150000,144850000,316350000,87325000,69775000,99275000,99275000,87325000,144850000,316350000,99275000,0
Squalus acanthias,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,475975000,0
Vultur gryphus,316350000,316350000,316350000,338650000,316350000,95650000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,95650000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,95650000,316350000,316350000,316350000,316350000,316350000,316350000,95650000,316350000,316350000,475975000,0
Panthera onca,99275000,99275000,3203500,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,57350000,99275000,57350000,99275000,57350000,109550000,316350000,87325000,99275000,27525000,70850000,87325000,57350000,57350000,30557500,144850000,316350000,87325000,69775000,99275000,99275000,87325000,144850000,316350000,99275000,63150000,475975000,316350000,0
Aquila chrysaetos,316350000,316350000,316350000,338650000,316350000,105150000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,105150000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,100750000,316350000,316350000,316350000,316350000,316350000,316350000,96825000,316350000,316350000,475975000,95650000,316350000,0
Ateles geoffroyi,66450000,66450000,99275000,338650000,5850,316350000,87325000,32327925,316350000,93075000,88177000,87325000,5850,99275000,25062500,99275000,66450000,99275000,109550000,316350000,87325000,66450000,99275000,93075000,87325000,99275000,99275000,99275000,144850000,316350000,87325000,92000000,18900000,25062500,87325000,144850000,316350000,25062500,99275000,475975000,316350000,99275000,316350000,0
Balaenoptera acutorostrata,109550000,109550000,109550000,338650000,109550000,316350000,109550000,109550000,316350000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,35325000,316350000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,316350000,109550000,109550000,109550000,109550000,109550000,109550000,316350000,109550000,109550000,475975000,316350000,109550000,316350000,109550000,0
Bos taurus,87325000,87325000,87325000,338650000,87325000,316350000,48200000,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,48200000,87325000,87325000,87325000,48200000,87325000,87325000,87325000,144850000,316350000,15138000,87325000,87325000,87325000,48200000,144850000,316350000,87325000,87325000,475975000,316350000,87325000,316350000,87325000,109550000,0
Ceratotherium simum,92000000,92000000,69775000,338650000,92000000,316350000,87325000,92000000,316350000,63575000,88177000,87325000,92000000,69775000,92000000,69775000,92000000,69775000,109550000,316350000,87325000,92000000,69775000,63575000,87325000,69775000,69775000,69775000,144850000,316350000,87325000,53150000,92000000,92000000,87325000,144850000,316350000,92000000,69775000,475975000,316350000,69775000,316350000,92000000,109550000,87325000,0
Crocodylus niloticus,316350000,316350000,316350000,338650000,316350000,249467500,316350000,316350000,10592250,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,249467500,316350000,316350000,475975000,249467500,316350000,249467500,316350000,316350000,316350000,316350000,0
Dasyurus viverrinus,144850000,144850000,144850000,338650000,144850000,316350000,144850000,144850000,316350000,144850000,88177000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,109550000,316350000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,144850000,4466500,316350000,144850000,144850000,144850000,144850000,144850000,46132500,316350000,144850000,144850000,475975000,316350000,144850000,316350000,144850000,109550000,144850000,144850000,316350000,0
Equus zebra,92000000,92000000,69775000,338650000,92000000,316350000,87325000,92000000,316350000,63575000,88177000,87325000,92000000,69775000,92000000,69775000,92000000,69775000,109550000,316350000,87325000,92000000,69775000,63575000,87325000,69775000,69775000,69775000,144850000,316350000,87325000,53150000,92000000,92000000,87325000,144850000,316350000,92000000,69775000,475975000,316350000,69775000,316350000,92000000,109550000,87325000,53150000,316350000,144850000,0
Homo sapiens,66450000,66450000,99275000,338650000,31975000,316350000,87325000,32327925,316350000,93075000,88177000,87325000,31975000,99275000,24237500,99275000,66450000,99275000,109550000,316350000,87325000,66450000,99275000,93075000,87325000,99275000,99275000,99275000,144850000,316350000,87325000,92000000,31975000,24237500,87325000,144850000,316350000,24237500,99275000,475975000,316350000,99275000,316350000,31975000,109550000,87325000,92000000,316350000,144850000,92000000,0
Papio anubis,66450000,66450000,99275000,338650000,25062500,316350000,87325000,32327925,316350000,93075000,88177000,87325000,25062500,99275000,8043250,99275000,66450000,99275000,109550000,316350000,87325000,66450000,99275000,93075000,87325000,99275000,99275000,99275000,144850000,316350000,87325000,92000000,25062500,13450750,87325000,144850000,316350000,684350,99275000,475975000,316350000,99275000,316350000,25062500,109550000,87325000,92000000,316350000,144850000,92000000,24237500,0
Saimiri sciureus,66450000,66450000,99275000,338650000,18900000,316350000,87325000,32327925,316350000,93075000,88177000,87325000,18900000,99275000,25062500,99275000,66450000,99275000,109550000,316350000,87325000,66450000,99275000,93075000,87325000,99275000,99275000,99275000,144850000,316350000,87325000,92000000,16025000,25062500,87325000,144850000,316350000,25062500,99275000,475975000,316350000,99275000,316350000,18900000,109550000,87325000,92000000,316350000,144850000,92000000,31975000,25062500,0
Scalopus aquaticus,92000000,92000000,69775000,338650000,92000000,316350000,87325000,92000000,316350000,63575000,88177000,87325000,92000000,69775000,92000000,69775000,92000000,69775000,109550000,316350000,87325000,92000000,69775000,63575000,87325000,69775000,69775000,69775000,144850000,316350000,87325000,62500000,92000000,92000000,87325000,144850000,316350000,92000000,69775000,475975000,316350000,69775000,316350000,92000000,109550000,87325000,62500000,316350000,144850000,62500000,92000000,92000000,92000000,0
Ovis aries,87325000,87325000,87325000,338650000,87325000,316350000,48200000,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,48200000,87325000,87325000,87325000,48200000,87325000,87325000,87325000,144850000,316350000,17325000,87325000,87325000,87325000,48200000,144850000,316350000,87325000,87325000,475975000,316350000,87325000,316350000,87325000,109550000,17325000,87325000,316350000,144850000,87325000,87325000,87325000,87325000,87325000,0
Ursus thibetanus,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,44675000,99275000,44675000,99275000,31232500,109550000,316350000,87325000,99275000,57350000,70850000,87325000,44675000,44675000,57350000,144850000,316350000,87325000,69775000,99275000,99275000,87325000,144850000,316350000,99275000,63150000,475975000,316350000,57350000,316350000,99275000,109550000,87325000,69775000,316350000,144850000,69775000,99275000,99275000,99275000,69775000,87325000,0
Accipiter gentilis,316350000,316350000,316350000,338650000,316350000,105150000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,105150000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,100750000,316350000,316350000,316350000,316350000,316350000,316350000,96825000,316350000,316350000,475975000,95650000,316350000,10777500,316350000,316350000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,0
Ailuropoda melanoleuca,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,44675000,99275000,44675000,99275000,31232500,109550000,316350000,87325000,99275000,57350000,70850000,87325000,44675000,44675000,57350000,144850000,316350000,87325000,69775000,99275000,99275000,87325000,144850000,316350000,99275000,63150000,475975000,316350000,57350000,316350000,99275000,109550000,87325000,69775000,316350000,144850000,69775000,99275000,99275000,99275000,69775000,87325000,3930250,316350000,0
Alligator mississippiensis,316350000,316350000,316350000,338650000,316350000,249467500,316350000,316350000,123450000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,249467500,316350000,316350000,475975000,249467500,316350000,249467500,316350000,316350000,316350000,316350000,123450000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,249467500,316350000,0
Antrozous pallidus,99275000,99275000,63150000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,63150000,99275000,63150000,99275000,63150000,109550000,316350000,87325000,99275000,63150000,70850000,87325000,63150000,63150000,63150000,144850000,316350000,87325000,69775000,99275000,99275000,87325000,144850000,316350000,99275000,50400000,475975000,316350000,63150000,316350000,99275000,109550000,87325000,69775000,316350000,144850000,69775000,99275000,99275000,99275000,69775000,87325000,63150000,316350000,63150000,316350000,0
Canis latrans,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,44675000,99275000,44675000,99275000,43875000,109550000,316350000,87325000,99275000,57350000,70850000,87325000,44675000,44675000,57350000,144850000,316350000,87325000,69775000,99275000,99275000,87325000,144850000,316350000,99275000,63150000,475975000,316350000,57350000,316350000,99275000,109550000,87325000,69775000,316350000,144850000,69775000,99275000,99275000,99275000,69775000,87325000,43875000,316350000,43875000,316350000,63150000,0
