Rate [100.000/div],Count
4,1
26,126
29,136
48,124
45,124
24,113
25,109
34,236
44,138
63,50
62,86
46,116
72,79
23,80
28,132
40,81
60,50
37,118
36,127
35,183
47,125
19,92
20,112
16,42
27,156
56,45
22,84
43,72
77,16
30,149
69,90
42,114
0,4
38,160
54,18
83,27
74,66
76,50
90,19
21,115
32,189
33,106
75,45
79,14
10,26
11,6
15,26
55,118
17,44
14,28
18,90
66,94
71,36
64,30
52,90
65,83
61,73
51,14
70,101
13,21
31,143
59,84
41,117
98,6
99,15
199,1
174,1
50,104
58,110
49,74
144,2
53,18
202,1
67,99
6,23
9,88
2,17
8,78
3,19
1,6
39,66
117,2
84,1
110,6
57,40
137,2
106,2
96,3
175,2
112,4
121,1
191,1
68,6
73,3
12,10
7,6
5,7
105,1
92,1
88,4
89,6
323,1
81,2
124,2
129,1
259,1
97,1
86,2
269,1
108,2
336,2
126,1
120,1
155,1
78,1
111,3
158,1
100,1
94,1
172,2